title,author,type,audience,genre,faust_numbers,isbns,n_loans
Sund mad til kloge tarme,Michael Mosley,Bog,"alment niveau,voksenmaterialer",diætbehandling,53816428,<NA>,2018
Min bedste bog - maskiner,,Billedbog,"førskoleniveau,børnematerialer","motorkøretøjer,pegebøger",48319114,<NA>,2017
Livsopgaver,,Bog,"alment niveau,voksenmaterialer",praktisk etik i alm.,47125057,<NA>,2016
Mission feriekys,Sandra Schwartz,Bog,børnematerialer,skønlitteratur,53343082,<NA>,2016
Stormens rasen,Wilbur A. Smith,Bog,voksenmaterialer,skønlitteratur,62493127,<NA>,2016
Børnenes leksikon,,Bog,"folkeskoleniveau,børnematerialer",palæontologi,52556961,<NA>,2016
Rosa uden filter,,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",38202634,<NA>,2015
Ella og Vera,Marie Norin,Billedbog,børnematerialer,skønlitteratur,51006119,<NA>,2015
Asta på lejrskole,Trine Bundsgaard,Bog,børnematerialer,spænding,28975384;48163912,<NA>,2538
Prinsesse Enhjørning - troldkvindens jægere,Peter Gotthardt,Bog,børnematerialer,fantasy,52085071,<NA>,2014
Ninja Niller - Blodets bånd. Del 4,Rune Fleischer,Bog,børnematerialer,spænding,50936287,<NA>,2014
Lillys Danmarkshistorie,Pia Fris Laneth,Bog,"alment niveau,voksenmaterialer","kvinder,erindringer",26500818;27624359;99122467859205763;99122072413105763,<NA>,2365
Bo ser en BMW,Marie Duedahl,Bog,børnematerialer,skønlitteratur,54105061,<NA>,2013
Polarnatten,Heidi Sævareid (f. 1984),Bog,voksenmaterialer,skønlitteratur,61924205,<NA>,2013
Sigurd fortæller Danmarkshistorie. Bind 2,Sigurd Barrett,Bog,"folkeskoleniveau,børnematerialer",danmarks historie,52623235;38893769;53983987,<NA>,2294
Økseskibet,Jens Henrik Jensen (f. 1963),Bog,voksenmaterialer,krimi,52137225;48841465;25433262;51032535;25862449;27281982;25672933;99122279272805763;99122351879905763,<NA>,4490
Farligt spil,Danielle Steel,Bog,voksenmaterialer,spænding,54495838;61762116;52764165;51584791;25270371;134972351;135652237;99121928333805763;99122461062305763;99122729885905763;99122973889005763;99122229872305763;99121984856705763;99122113258905763,<NA>,4069
Cykelmysteriet,Martin Widmark,Bog,børnematerialer,krimi,46913582,<NA>,2012
Jeg vil også have en lillebror,Astrid Lindgren,Billedbog,børnematerialer,skønlitteratur,51725980;05426685,<NA>,2158
En tyv i et hus,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,53963226,<NA>,2012
Paddington ved slottet,Michael Bond,Billedbog,børnematerialer,sjove bøger,53586902,<NA>,2012
Superligaen,Tommy Heisz,Bog,"folkeskoleniveau,børnematerialer",fodbold,47192412;47512204,<NA>,3420
Diamantblikket,Kate Quinn,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",62908661,<NA>,2012
Heste,Cecilie Bogh,Bog,"folkeskoleniveau,børnematerialer",heste,53113893;51414403;46529685;48827675;29238596;23814021;28393253;22958496;21668672;23464640;23451107;06986595;25454081;44038579;07048270;99122836876805763;99122127790505763;27098312;99122364021805763;99122462888005763,<NA>,10595
Skrig under vand,"Jeanette Øbro Gerlow,Ole Tornbjerg",Bog,voksenmaterialer,krimi,28319320;51286812;50789276,<NA>,2411
Pinkie Pie og den store kagedyst,Tallulah May,Billedbog,børnematerialer,skønlitteratur,39498898;99123860445205763,<NA>,2012
Godnathistorier,,Billedbog,børnematerialer,godnathistorier,54995997;53580211;52691249;46578422;22682261;99122859766905763,<NA>,4155
Lille Kanin skal i bad,Jörg Mühle,Billedbog,børnematerialer,skønlitteratur,53873480;99122651698105763,<NA>,2012
Da fremtiden blev stjålet,Lasse Spang Olsen,Bog,børnematerialer,sjove bøger,48218725,<NA>,2010
Mascha,Mascha Vang,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",61594353,<NA>,2010
Sandheden om Harry Quebert-sagen,Joël Dicker,Bog,voksenmaterialer,spænding,50976610;134325674;51773144;52570174;99124187304405763;99122050196405763;99122664890705763,<NA>,2084
Sommer med Mille og Mulle,Pauline Oud,Billedbog,børnematerialer,skønlitteratur,47861616,<NA>,2009
Fremmedgørelse og acceleration,Hartmut Rosa,Bog,"alment niveau,voksenmaterialer",sociale processer og systemer,50999335;99122018894105763;99122813673905763;1786696,<NA>,2034
Julevenner,Anja Takacs,Bog,"folkeskoleniveau,alment niveau,børnematerialer,voksenmaterialer",øvrige grene af kunsthåndværket,53656927;52743400;99122610966205763;99122223599505763,<NA>,3740
Land i datid,Jesper Bugge Kold,Bog,voksenmaterialer,skønlitteratur,52272114;99122732022405763,<NA>,2009
Læs med landsholdet og Pierre-Emile Højbjerg,Ole Sønnichsen,Bog,"folkeskoleniveau,børnematerialer",fodbold,53032842,<NA>,2008
Vi havde jo bare en pause,Lindsey Kelk,Bog,voksenmaterialer,chick lit,54055730,<NA>,2007
Lyserød lak og gyldne løfter,Ewa Klingberg,Bog,voksenmaterialer,skønlitteratur,135507326,<NA>,2007
Min største hemmelighed - Astrid,Kit A. Rasmussen,Bog,børnematerialer,skønlitteratur,47898943,<NA>,2007
Alt dette vil jeg give dig,Dolores Redondo,Bog,voksenmaterialer,spænding,54422555;99122030211805763,<NA>,2008
Stærke knogler,Mia Damhus (f. 1961-04-14),Bog,"alment niveau,voksenmaterialer",bevægeapparatets sygdomme,46441206,<NA>,2007
"Det er mig, der er helten! - prinsessen & ridderen",Mathilde Ray,Billedbog,børnematerialer,eventyr,46747607,<NA>,2006
Messi,Troels Gollander,Bog,"folkeskoleniveau,børnematerialer",fodbold,29512450;50569470;48151884;51910559;51195183;52783143;51593243;29648530;136328786;51747143;52516137;45467341;45253929;9920727384005762;52761298,<NA>,8352
Flettepigernes favoritter,"Laura Kristine Arnesen,Marie Moesgaard Wivel",Bog,"folkeskoleniveau,alment niveau,børnematerialer,voksenmaterialer",hårpleje,51965914,<NA>,2006
Den officielle Harry Potter bagebog,Joanna Farrow,Bog,"alment niveau,folkeskoleniveau,børnemateriale",bagning,61563474,<NA>,2005
Den forreste mand,Peter Mogensen (f. 1965-01-06),Bog,voksenmaterialer,skønlitteratur,62339608,<NA>,2005
A B C,Mette Jørgensen (f. 1952),Billedbog,børnematerialer,rim,29989699,<NA>,2005
Mega Kaj,Marie Duedahl,Bog,børnematerialer,sjove bøger,54168527,<NA>,2005
Forår med Mille og Mulle,Pauline Oud,Billedbog,børnematerialer,skønlitteratur,47558875;99123305391005763,<NA>,2007
Marco effekten,Jussi Adler-Olsen,Bog,voksenmaterialer,"krimi,politiromaner",29705119;45965929;51565606;61458425;50790649;51488539;29754519;99122701497705763,<NA>,4062
Vera må få slik,Hanne Scheller,Bog,børnematerialer,skønlitteratur,52636906,<NA>,2004
Saga på ridelejr,Pia Hagmar,Bog,børnematerialer,skønlitteratur,52721105,<NA>,2003
Skatteøen med Anders og Mickey,Tea Orsi,Billedbog,børnematerialer,skønlitteratur,39453428,<NA>,2003
Den vilde have,Jens Thejsen,Bog,"alment niveau,voksenmaterialer",haveanlæg. havearkitektur,27717853,<NA>,2003
Den rustne verden - ukrudt,Adam O.,Bog,børnematerialer,dystopier,48031242,<NA>,2003
Én gang morder,Eva Maria Fredensborg,Bog,voksenmaterialer,krimi,29932220;51327470;99121958829605763,<NA>,2047
Din grønne rejse,Louise Bruun (f. 1975),Bog,"alment niveau,voksenmaterialer",råkost. vegetarisk mad,62309237,<NA>,2003
Kig & find i Prinsesselandet,,Billedbog,børnematerialer,gå på opdagelse,50852326,<NA>,2002
Sagas nye ven,Pia Hagmar,Bog,børnematerialer,skønlitteratur,51843991,<NA>,2002
5 minutters eventyr,Peter Gotthardt,Bog,børnematerialer,"eventyr, historier og fabler,eventyr",54523912;48825982,<NA>,2540
Dit hemmelige våben,"Laila Tórsheim,Nanna Ewald Stigel",Bog,"alment niveau,voksenmaterialer",den voksnes udviklingsstadier,54829566;99122667183305763,<NA>,2004
Glasslottet,Jeannette Walls,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",28894287;53574378;99122715847505763,<NA>,2674
Mystiske mumier,Mary Pope Osborne,Bog,børnematerialer,spænding,26332435;99122704001305763,<NA>,2002
Green kitchen derhjemme,"David Frenkiel,Luise Vindahl",Bog,"alment niveau,voksenmaterialer",råkost. vegetarisk mad,53934722,<NA>,2000
Havet,,Billedbog,børnematerialer,skønlitteratur,27463355;62371366;27421970;134332204;48041248;26964776;25310799;29033951;38361619;51460979;23542137;21229806;03941086;25321200;99122962306105763;01301268;24851052;05331781;04363051;05405483;51475682;99121998001005763;26255813;99122549645005763,<NA>,4626
Iqbal Farooq og julesvineriet,Manu Sareen,Bog,børnematerialer,"kalenderhistorier,sjove bøger,spænding",27961770;51759958,<NA>,2434
Naturens fantastiske venskaber,Emilia Dziubak,Billedbog,"førskoleniveau,folkeskoleniveau,børnematerialer",værker af blandet indhold,39278332,<NA>,1999
Frøken Fine og den stjålne kjole,Katrine Marie Guldager,Bog,børnematerialer,skønlitteratur,51087550,<NA>,1999
Giraffen Gumle - og andre børnesange,,Billedbog,børnematerialer,"vokalmusik for børn,børnesange",38282859,<NA>,1998
Den brændende bro,John Flanagan,Bog,børnematerialer,fantasy,26528631,<NA>,1998
Den grå heks kan spå,Marie Duedahl,Bog,børnematerialer,skønlitteratur,54658702,<NA>,1998
Hvordan har du det?,Amanda McCardie,Billedbog,børnematerialer,skønlitteratur,52048176;23716518,<NA>,2029
A.S.P.E. - dommedagsbjergene,Mette Finderup,Bog,børnematerialer,fantasy,47939208,<NA>,1997
Ride ride ranke,,Billedbog,børnematerialer,"rim og remser,remser,rim",53776116;43828967;23268515;99122217524305763,<NA>,2131
Mig,Elton John,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",47259401;07289294;20257784;99123305149805763,<NA>,2028
Far og Hasan får en robot,Marie Duedahl,Bog,børnematerialer,sjove bøger,46973143,<NA>,1997
Sunde vaner med succes,"Eskild Ebbesen,Henrik Duer (f. 1973)",Bog,"alment niveau,voksenmaterialer",sundhed i alm.,61933239,<NA>,1997
Eget ansvar,Elsebeth Egholm,Bog,voksenmaterialer,krimi,29953554;52363268;99122393320405763,<NA>,2154
9 fra de ni verdener,Rick Riordan,Bog,børnematerialer,fantasy,46621689,<NA>,1996
Akutklokken,Karin Brunk Holmqvist,Bog,voksenmaterialer,skønlitteratur,53834140;46005198,<NA>,2310
Framnes' gale køkken,Camilla Framnes (f. 1987),Bog,"alment niveau,voksenmaterialer",diætmadlavning,54260326,<NA>,1996
Hos alferne,Peter Gotthardt,Bog,børnematerialer,eventyrlige fortællinger,52702216,<NA>,1996
Fine & farverige perleplader - til jul,Lisbet Lücke Larsen,Bog,"folkeskoleniveau,alment niveau,børnematerialer,voksenmaterialer",øvrige grene af kunsthåndværket,52007054,<NA>,1996
Hvem bestemmer,"Sofia Osmani,Gitte Kjær-Westermann",Bog,"folkeskoleniveau,børnematerialer",danmarks politiske system,61384537,<NA>,1995
Døden skal du lide,Matthew Arlidge,Bog,voksenmaterialer,skønlitteratur,61961046;00770116;20168765;99122099920205763;99122355314405763,<NA>,2024
5 minutter i jul,,Bog,børnematerialer,godnathistorier,47227054,<NA>,1995
Alle har en bagside,Anna Fiske,Billedbog,"førskoleniveau,folkeskoleniveau,børnematerialer",menneskets fysiologi,52117704,<NA>,1995
Teddy på spring,Lin Hallberg,Bog,børnematerialer,skønlitteratur,52193451,<NA>,1995
Mine første 100 maskiner,,Billedbog,"førskoleniveau,børnematerialer",transportmidler i alm.,38997912;52535484;99122048762005763;99121975889705763,<NA>,2383
De lyse nætters begyndelse,Jenny Colgan (f. 1972),Bog,voksenmaterialer,chick lit,136072056,<NA>,1992
Lucias sidste rejse,Vetle Lid Larssen,Bog,voksenmaterialer,historiske romaner,135464279,<NA>,1992
Men,Jesper Wung-Sung,Bog,voksenmaterialer,skønlitteratur,50904555;52755336;45865053,<NA>,2156
Sommeren med Ellen,Agnete Friis,Bog,voksenmaterialer,spænding,53188923;53514227,<NA>,1999
Rune Stærk,Kim Dalsgaard,Bog,børnematerialer,skønlitteratur,52163641;38973797,<NA>,2376
Læs med landsholdet og Pione Sisto,Ole Sønnichsen,Bog,"folkeskoleniveau,børnematerialer",fodbold,54188943,<NA>,1990
Filmmysteriet,Martin Widmark,Bog,børnematerialer,krimi,48069908,<NA>,1990
Hvalp i harmoni,Karina Rasmussen,Bog,"alment niveau,voksenmaterialer",hunde,47917123;61643591;99123331811005763;99123909433305763,<NA>,2118
"Denne dag, et liv",Jens Andersen (f. 1955),Bog,"alment niveau,voksenmaterialer",biografier af enkelte personer,51377818;99121928205305763;45865223,<NA>,1992
Efterliv,Abdulrazak Gurnah,Bog,voksenmaterialer,skønlitteratur,62555955;29024928;99122363386705763,<NA>,1993
Kvinden der ikke blev fundet,Remigiusz Mróz (f. 1987),Bog,voksenmaterialer,skønlitteratur,62122749,<NA>,1988
De sidste timer,Minette Walters,Bog,voksenmaterialer,historiske romaner,54081324;29288232;48195822;46385454;04678052;99123407861405763;99122502419205763,<NA>,2729
"Fy, Bo",Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,47841577,<NA>,1988
Den magiske dyrehandel - Novas hemmelighed,Lin Hallberg,Bog,børnematerialer,skønlitteratur,53077021,<NA>,1988
Bogen om Madicken,Astrid Lindgren,Bog,børnematerialer,skønlitteratur,27615996,<NA>,1987
Hellere død,"Lee Child,Andrew Child",Bog,voksenmaterialer,spænding,62563613,<NA>,1987
Hør vinden synge : Flipperspil 1973,Haruki Murakami,Bog,voksenmaterialer,skønlitteratur,52644429,<NA>,1987
En dans for to,Nora Roberts,Bog,voksenmaterialer,skønlitteratur,52751454;99122127303205763,<NA>,1988
"Sov godt, Lille Ræv!",Hanna Bergenkull,Billedbog,børnematerialer,skønlitteratur,39323621,<NA>,1986
Jagten på sandheden - den 25. time,Kasper Hoff,Bog,børnematerialer,skønlitteratur,62021764,<NA>,1985
"Jørgen Pingvin bygger noget, der kan flyve meget højt",Sabine Lemire,Billedbog,børnematerialer,skønlitteratur,62566272,<NA>,1985
Winnie og Wilbur og havemonstrene,Valerie Thomas,Billedbog,børnematerialer,sjove bøger,54933258,<NA>,1985
Virkelighedens monstre,Line Renslebråten,Bog,"folkeskoleniveau,børnematerialer",værker af blandet indhold,47647193,<NA>,1985
Ingunn Birkeland strikker,Ingunn Birkeland,Bog,"alment niveau,voksenmaterialer",strikning,134156503;62535768,<NA>,2438
Spøgelseshvisker,Nick Clausen,Bog,børnematerialer,"gys,spænding",47468809,<NA>,1983
Pinocchio,,Billedbog,børnematerialer,eventyr,53016901;51267419;38735969;52029090;38353314;28388454;45336336;45171302;05863856;45465268;45516881;24863123;23266903;43798901;07557361;43442376;04386647;45610667;99122296465905763;99123440316305763;29212856;42034606;53877117;44517752;44191695;212111;99122743600505763;22455184;99122731613605763;99122326689905763;99121928320405763,<NA>,4505
Kold frygt,Karin Slaughter,Bog,voksenmaterialer,krimi,29579539;99122856786005763,<NA>,1986
Offermosen,Susanne Jansson (f. 1972),Bog,voksenmaterialer,krimi,53776043;26696151,<NA>,2016
Hvad er dog det for en årstid?,Ralf Butschkow,Billedbog,børnematerialer,gå på opdagelse,54632460,<NA>,1983
Kål,Mette Mølbak,Bog,"alment niveau,voksenmaterialer",særlige retter,51930894;51965574;47210631;47726808;99122680839005763,<NA>,3450
Engang en sommer,Jessica Brockmole,Bog,voksenmaterialer,brevromaner,52862515,<NA>,1982
Haven med stil,Selina Lake,Bog,"alment niveau,voksenmaterialer",haveanlæg. havearkitektur,47961327,<NA>,1981
Around - 8 tørklæder,Susie Haumann,Bog,"alment niveau,voksenmaterialer",strikning,50642860,<NA>,1981
Laladin og den vildt underlige lampe,Rune T. Kidde,Billedbog,børnematerialer,"eventyr,humor,omvendte eventyr",51402952,<NA>,1981
De savnede hjerter,Celeste Ng (f. 1980),Bog,voksenmaterialer,dystopier,135176605,<NA>,1980
Min store bog om følelser,Stéphanie Couturier,Billedbog,børnematerialer,skønlitteratur,46984218;99122377033605763,<NA>,1990
Kirsten Lehfeldt,Jacob Wendt Jensen,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,barndomserindringer,erindringer",46922824,<NA>,1978
"Yoga for ryg, nakke og skuldre",Susanne Lidang (f. 1977),Bog,"alment niveau,voksenmaterialer",yoga. gøsselgymnastik. mensendieck-gymnastik,47009472,<NA>,1978
Max og Kai har bål,Marie Duedahl,Bog,børnematerialer,sjove bøger,53794548,<NA>,1978
Se en fe,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,38730673,<NA>,1977
Mit navn er Justice - smuglernes hemmelighed,Elly Griffiths,Bog,børnematerialer,krimi,48843468,<NA>,1977
Klimaguiden,"Anna Fenger Schefte,Anders Nolting Magelund",Bog,"alment niveau,voksenmaterialer",miljø,46943929,<NA>,1976
Kære Zoe Ukhona,Pelle Hvenegaard,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",54079397;48344089;99123419300505763,<NA>,1991
Anton til Halloween,Jørn Jensen (f. 1946),Bog,børnematerialer,gys,46860918,<NA>,1976
LEGO Ninjago - myldrebog,,Billedbog,børnematerialer,gå på opdagelse,51919238;99122818269805763,<NA>,1980
Med Lasse i børnehave,Pauline Oud,Billedbog,børnematerialer,skønlitteratur,53610137,<NA>,1975
Hvor fire veje mødes,Tommi Kinnunen (f. 1973),Bog,voksenmaterialer,skønlitteratur,51939131;53063039;99122948605605763;99122424071005763,<NA>,1998
Oceanarium,Loveday Trinick,Bog,"folkeskoleniveau,alment niveau,børnematerialer",hydrobiologi,61572805,<NA>,1975
Bjørneklo,Stine Askov,Bog,voksenmaterialer,skønlitteratur,52943337,<NA>,1974
Dy får en BMX,Marie Duedahl,Bog,børnematerialer,skønlitteratur,47248736;99123305009205763,<NA>,1974
Ramt,Sofie Lassen-Kahlke,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",61586768;21789593,<NA>,1976
To brødre,Ben Elton,Bog,voksenmaterialer,skønlitteratur,50640035;51168542;38431854;05949882;05120896;05345693;99122395414305763;99123638045505763;99122135969205763,<NA>,3791
Husk at være glad,Preben Kristensen (f. 1953),Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,barndomserindringer,erindringer",54995830;46366689;99122522680105763,<NA>,2355
Tittebøh - ko,Camilla Reid,Billedbog,børnematerialer,pegebøger,48501826;99123440344505763,<NA>,1973
Mine første ord om bondegården,,Billedbog,"førskoleniveau,børnematerialer","husdyrbrug,billedordbøger,pegebøger",46742362,<NA>,1972
En ærlig mand,Lars Kjædegaard,Bog,voksenmaterialer,skønlitteratur,52908582;46425731;99122314350505763,<NA>,1978
Løgnenes palads,Erin Watt,Bog,voksenmaterialer,skønlitteratur,53653642,<NA>,1971
Cirkeline - tæl til 10,Hanne Hastrup,Billedbog,børnematerialer,skønlitteratur,28966512;27723942;51875613,<NA>,3555
Dødens galleri,Chris Carter,Bog,voksenmaterialer,krimi,53994229;46929101,<NA>,2065
Timmy Taber - katten stjal mine bukser,Stephan Pastis,Bog,børnematerialer,sjove bøger,53441823,<NA>,1970
Den fjollede vrimlebog,Achim Ahlgrimm,Billedbog,børnematerialer,"gå på opdagelse,sjove bøger",54414633,<NA>,1969
Kanin & Bjørn - Kanins dårlige vane,Julian Gough,Bog,børnematerialer,dyrefortællinger,52838800,<NA>,1969
"Løb, rose, løb","Dolly Parton,James Patterson",Bog,voksenmaterialer,skønlitteratur,62220317,<NA>,1969
Hajer og havfruer,Dorte Lilmose,Bog,børnematerialer,sjove bøger,52989000;136482424,<NA>,2016
Mumitrolden,,Billedbog,børnematerialer,skønlitteratur,61729224,<NA>,1968
Det blodrøde tårn,Peter Gotthardt,Bog,børnematerialer,fantasy,27600158,<NA>,1968
Balladen om den forsvundne mumie,Dennis Jürgensen,Bog,børnematerialer,humor,26971640;05857317;21603309;99121936348405763;99122591011405763,<NA>,2932
Bring mig tilbage,B. A. Paris,Bog,voksenmaterialer,"domestic noir,psykologisk thriller",46381203,<NA>,1968
Vores baby,Brigitta Bijloos,Billedbog,børnematerialer,skønlitteratur,47680174;27735568;22474014,<NA>,3115
"Pølle, pille eller pære?",Andy Seed,Billedbog,"folkeskoleniveau,børnematerialer",økologi. biogeografi,45965228,<NA>,1968
Min lille bog om følelser - generthed,Stéphanie Couturier,Billedbog,børnematerialer,skønlitteratur,47908191;99123331786505763,<NA>,1972
Kuppet,Daniel Silva,Bog,voksenmaterialer,spænding,51625579;52622778;46206126;29859612;28349297;25404696;52271746,<NA>,3276
Lille Pinds hule,Elvira Fragola,Billedbog,børnematerialer,skønlitteratur,48882153,<NA>,1967
Hvis du ser en krokodille - og andre børnesange,,Billedbog,børnematerialer,"vokalmusik for børn,børnesange",46132807,<NA>,1967
Tisse og børste tænder,Frauke Nahrgang,Billedbog,"førskoleniveau,børnematerialer","personlig hygiejne,løft og kig",51475119;99122723022905763,<NA>,1968
Imperiets børn,Anne Kirstine Hermann,Bog,"alment niveau,voksenmaterialer",grønlands historie,39139243,<NA>,1967
Postmand Per - historier fra Grønnedal,,Billedbog,børnematerialer,skønlitteratur,53261302,<NA>,1967
Tomhedsfeber,Jessica Townsend,Bog,børnematerialer,fantasy,38324004,<NA>,1967
Artemis Fowl,Eoin Colfer,Bog,børnematerialer,fantasy,48030378;23633027;26793882;38859234;42873489;23717018;42561134;25131452;23937301;42533351;61436499;45118088;99122898506505763;44930501,<NA>,3444
Efterhånden mulighed for sol,Michael Enggaard,Bog,voksenmaterialer,skønlitteratur,38714589,<NA>,1967
Pindsvin,Per Straarup Søndergaard,Bog,"folkeskoleniveau,børnematerialer","insektædere, kaguanger og flagermus",53425739;26610516;24638758,<NA>,3676
Hammershøi på pindene,Ditte Larsen,Bog,"alment niveau,voksenmaterialer",strikning,53725791,<NA>,1966
Dilemma,B. A. Paris,Bog,voksenmaterialer,"domestic noir,spænding",48368425;26958547;20418311;51025393;99122020297305763;20523662,<NA>,2106
"Mopsen, der ville være en enhjørning",Bella Swift,Bog,børnematerialer,skønlitteratur,47307767,<NA>,1966
Masada,Morten Hesseldahl,Bog,voksenmaterialer,spænding,53953972;06042120;01487469;06044654;2557451,<NA>,1986
Min jul,Mette J. Blomsterberg,Bog,"alment niveau,voksenmaterialer",madlavning,48888607,<NA>,1966
Skygger fra Sprogø,Vibeke Marx,Bog,voksenmaterialer,skønlitteratur,26901952;135667927;29398720;99122082206505763;99122479224305763,<NA>,2406
Villy og Vaps,Marie Duedahl,Bog,børnematerialer,sjove bøger,53612105,<NA>,1965
Winnie og piraterne,Valerie Thomas,Billedbog,børnematerialer,sjove bøger,51075056,<NA>,1964
Hjem til stjernerne,Carey Heywood,Bog,voksenmaterialer,skønlitteratur,48487238,<NA>,1964
Elefanter på tur,,Billedbog,børnematerialer,gå på opdagelse,48666264,<NA>,1963
Julemandens ønske,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,38202898,<NA>,1962
Første dag i børnehaven,,Billedbog,børnematerialer,skønlitteratur,39591308,<NA>,1962
Det nye mig,Halle Butler,Bog,voksenmaterialer,skønlitteratur,61495452,<NA>,1962
Den hemmelige datter,Shilpi Somaya Gowda,Bog,voksenmaterialer,skønlitteratur,28649851;50550990;28857330,<NA>,2149
Frøken Fine har været på ferie,Katrine Marie Guldager,Bog,børnematerialer,skønlitteratur,29976848,<NA>,1962
Dobbeltfejl,Anne Mette Kirk,Bog,voksenmaterialer,skønlitteratur,135888877,<NA>,1961
Lulu i skole,Susanna Hartmann,Bog,børnematerialer,skønlitteratur,52906350,<NA>,1961
Kæledyr,Eva Mosegaard Amdisen,Bog,"folkeskoleniveau,børnematerialer",stuedyr,48351204;61705481;28841027;28756623;22730886;51276167;25064488;26668824;24378284;26952409;29139911;25906187;20711590;22440721;99122943699205763;28692382;20952024;136666002;27943675;99122873189605763;99122317771105763,<NA>,5115
Bridge House,Marcia Willett,Bog,voksenmaterialer,slægtsromaner,27013406;27606881,<NA>,1976
Drop opdragelsen!,Fie Hørby,Bog,"alment niveau,voksenmaterialer",børne- og ungdomsopdragelse i alm.,29034346;99122331695705763,<NA>,1979
Hvad sker der på brandstationen,Guido Wandrey,Billedbog,børnematerialer,gå på opdagelse,29970068,<NA>,1959
"Sam, pas på!",Sanne Haugaard,Bog,børnematerialer,skønlitteratur,48259995,<NA>,1959
Fattig student,Karen Elene Thorsen (f. 1997),Bog,"alment niveau,voksenmaterialer",madlavning,48343287;62754761;99123440314105763,<NA>,2218
Krukker i haven,Claus Dalby,Bog,"alment niveau,voksenmaterialer",gartneri og havebrug,53729428;24010988;24092240;26347270;99122974447905763,<NA>,2569
Cykelture i Danmark,"Helle Midtgaard,Jesper Pørksen",Bog,"alment niveau,voksenmaterialer",rejsehåndbøger,53025250;22992384;22029363;99122116000605763,<NA>,2098
Mad i fad,Anne van der Merwede,Bog,"alment niveau,voksenmaterialer",madlavning i alm. for særligt apparatur,39449676,<NA>,1959
En kort historie om lighed,Thomas Piketty,Bog,"alment niveau,voksenmaterialer",indkomstens fordeling,62380853,<NA>,1959
Jens og Liv ser på dyr,Maria Rørbæk,Bog,børnematerialer,skønlitteratur,53555985,<NA>,1959
Fe er væk!,Marie Duedahl,Bog,børnematerialer,skønlitteratur,46784405,<NA>,1959
Hamster,Andreas Munk Scheller,Bog,"folkeskoleniveau,børnematerialer",stuepattedyr,52764092;26299349;39134241;53470084;39257718;26969808;25875699;22533371;25534573;99122977119405763,<NA>,9726
Plan B - de hurtige retter,"Suzy Wengel,Ida Holm",Bog,"alment niveau,voksenmaterialer",diætmadlavning,52128811;46522834,<NA>,2260
Lasse og lokomotivet,Johan Anderblad,Billedbog,børnematerialer,skønlitteratur,54118317,<NA>,1958
En nød til Ras,Helle Dyhr Fauerholdt,Bog,børnematerialer,skønlitteratur,29477612,<NA>,1958
Fy og Bi i en eg,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,53538134,<NA>,1956
Skildpadder,Sigurd Toftdahl Terkelsen,Bog,"folkeskoleniveau,børnematerialer",padder og krybdyr,53049230;26062411;26629462;20656093;22583107;05675901;99122393164005763,<NA>,3169
Ulige uger,Ditte Giese,Bog,"alment niveau,voksenmaterialer",familiens opløsning,62734507;51930789,<NA>,2087
Tre røvere og en pølseløve,Thorstein Thomsen (f. 1950),Billedbog,børnematerialer,skønlitteratur,61769129,<NA>,1955
Barnet,Fiona Barton,Bog,voksenmaterialer,"psykologisk thriller,spænding",53549004;26019435;46366271;46796349;01348213;62185473;47606403;99122052525505763;28410522;99122654602705763;20262648;01396684;27519695;99122093855505763;593084;99122633525505763;99122112180305763;03771512;99123305383105763;99123305425005763;05514746;99122568174805763,<NA>,2861
Mord på marsken,Joy Ellis,Bog,voksenmaterialer,"krimi,politiromaner",62974613,<NA>,1955
Lea ser en ulv,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,53414095,<NA>,1954
Krystalhjerte. Bog 1,Jan Kjær (f. 1971),Bog,børnematerialer,fantasy,135182877;99124387417205763__1,<NA>,1955
Prinsesse Fjollehoveds vintermagi,Elina Hirvonen,Billedbog,børnematerialer,skønlitteratur,38986376,<NA>,1954
De voksne er mærkelige,Franziska Gehm,Billedbog,børnematerialer,sjove bøger,54346581,<NA>,1953
Talentet,Lars Bøgeholt Pedersen,Bog,børnematerialer,skønlitteratur,47498856,<NA>,1953
Se på os nu,Geir Gulliksen,Bog,voksenmaterialer,skønlitteratur,46378202;99122977469905763,<NA>,1954
Mumitrolden og havorkestret,"Cecilia Davidsson,Alex Haridi",Billedbog,børnematerialer,"eventyrlige fortællinger,eventyrvæsener",48748953,<NA>,1953
